# 
aa > ays
bb > bas
cc > cas
dd > das
ee > eas
ff > fas
gg > get
hh > ha
ii > ey
jj > ya
kk > ka
ll > la
nn > na
oo > ohu
pp > pa
qq > que
rr > re
ss > su
tt > za
uu > ue
vv > ve
ww > we
xx > xe
yy > ye
zz > da
a > ay
b > bs
c > see
d > du
e > eh
f > fr
g > ge
h > hn
i > ie
j > ya
k > har
l > leh
m > meh
n > ne
o > ohe
p > pu
q > cue
r > rue
s > see
t > tra
u > we
v > va
w > vik
x > xsh
y > vi
z > cha
any > any-we
at > a-tra
anyway > an-vick-ahwe
ability > aysab-vitra
are
able > vik
absoloutley > abys-oh-letra
aquire > ar-patra
buy > see-whe
bat > sab-tra
back > sal-char
ball > sa-lar
base > say-char
big > be-sige
call > say-lah
carry > say-rah-leh
cheap > sena-chapu
card > see-rodue
capacity > setra-ve
code > so-sune
cold > seo-lune
click > sele-sar
child > sene-lehdo
client > seleh-hentra
daily > do-whaleh
damage > dure-gamy
miata > mia-tra
exc > sab
ca > say
ch > sena
da > dure
ehx > Hex
exp > ha
bso > scoh
lehehwhie > letra
lehoh > loneh
psw > Hex
tra > tre-na
nsl > sey
ato > rue
aff > afas
tho > tran
tha > tran
ayleho > alee
staff > see-tra-afas
lat > letra
thi > tra-ien
ngs > neh-la
ing > ie-neh
is > i-se
lik > le-hara
to > tra-ohe
wha > vik-eneh
whe > vik-enay
